Season_Number,Rank,Country,Player_Name,MMR,Peak MMR,Played,Win Rate,
11,8,Japan,atatata,16188,17296,457,60.2%,
11,9,Japan,a-,16155,16182,166,57.2%,
11,10,Japan,Adoration,16143,16143,423,52.5%,
12,1,France,Starlow,17177,17177,247,61.1%,
12,2,Japan,Gyoki_Hikaru,17107,17685,109,69.7%,
12,3,Japan,A0NATSU,17018,17280,278,61.2%,
12,4,France,Beast Gohan,16747,17344,336,56.3%,
12,5,Japan,a-,16118,16118,108,61.1%,
12,6,Japan,poyomaru,15895,16196,326,56.1%,
12,7,France,IRELKING,15756,17074,187,57.8%,
12,8,Japan,moa,15697,16230,350,54.0%,
12,9,Japan,Nuclear Fusion,15651,15855,67,62.7%,
12,10,England,Toad Circuit,15358,16022,236,53.8%,
13,1,France,Starlow,17034,17034,100,66.0%,
13,2,Japan,A0NATSU,16270,16982,105,66.7%,
13,3,Japan,poyomaru,16053,16738,145,58.6%,
13,4,Japan,c33,16008,16194,132,60.6%,
13,5,Japan,Gyoki_Hikaru,16007,16902,200,57.0%,
13,6,France,IRELKING,15951,16002,40,75.0%,
13,7,Japan,a-,15889,16683,124,63.7%,
13,8,Japan,atatata,15868,16094,73,58.9%,
13,9,Japan,Protagonist,15646,17073,180,57.8%,
13,10,France,Beast Gohan,15315,16082,234,58.1%,
