,index,Driver,Vehicle,Tire,Glider,GroundSpeed,WaterSpeed,AirSpeed,AntiGravitySpeed,Acceleration,Weight,GroundHandling,WaterHandling,AirHandling,AntiGravityHandling,Traction,MiniTurbo,Total,Balance,AverageSpeed,WeightedSpeed,AverageHandling,WeightedHandling,GroundMastery,WaterMastery,AirMastery,AntiGravityMastery,DriftMastery,CollisionMastery
49,32308,Baby Rosalina,Mr Scooty,GLA Wheels,MKTV Parafoil,1.25,1.75,2.0,2.0,5.25,1.5,5.25,5.0,5.25,5.0,3.75,5.0,43.0,3.280019379954142,1.75,1.65,5.125,5.125,3.25,3.375,3.625,3.5,4.625,3.375
50,73296,Dry Bones,Buggybud,Button,Parafoil,1.25,1.75,2.0,2.25,5.5,1.25,5.0,4.75,4.75,5.0,3.5,5.25,42.25,3.302882345465308,1.8125,1.725,4.875,4.925,3.125,3.25,3.375,3.625,4.541666666666667,3.125
51,12200,Baby Daisy,Pipe Frame,Cushion,Parafoil,1.25,1.75,2.25,1.5,4.75,1.5,5.25,4.75,5.0,4.75,4.5,5.0,42.25,3.3230901887246542,1.6875,1.525,4.9375,4.975,3.25,3.25,3.625,3.125,4.8125,3.375
52,21584,Baby Daisy,City Tripper,Sponge,MKTV Parafoil,1.25,1.75,2.25,1.5,4.75,1.5,5.25,4.75,5.0,5.0,4.5,5.0,42.5,3.304976088485457,1.6875,1.525,5.0,5.05,3.25,3.25,3.625,3.25,4.833333333333333,3.375
53,23960,Baby Rosalina,Pipe Frame,Cushion,Parafoil,1.25,1.75,2.25,1.5,5.0,1.5,5.0,4.5,4.75,4.5,4.0,5.0,41.0,3.3998106172686744,1.6875,1.525,4.6875,4.725,3.125,3.125,3.5,3.0,4.5625,3.25
54,31868,Baby Rosalina,Varmint,Sponge,Peach Parasol,1.25,1.75,2.25,1.5,5.0,1.5,5.0,4.5,4.75,4.75,4.0,5.0,41.25,3.3828862692494948,1.6875,1.525,4.75,4.8,3.125,3.125,3.5,3.125,4.583333333333333,3.25
55,79233,Dry Bones,Mr Scooty,Cushion,Flower Glider,1.25,1.75,2.5,2.0,5.25,1.25,4.75,4.0,5.0,4.75,4.5,5.0,42.0,3.3939036596313863,1.875,1.7,4.625,4.625,3.0,2.875,3.75,3.375,4.708333333333333,3.0
56,73331,Dry Bones,Buggybud,Sponge,Paper Glider,1.25,1.75,2.5,2.0,5.25,1.25,4.75,4.0,5.0,5.0,4.5,5.0,42.25,3.374708650826883,1.875,1.7,4.6875,4.7,3.0,2.875,3.75,3.5,4.729166666666667,3.0
57,12142,Baby Daisy,Pipe Frame,Button,Peach Parasol,1.25,2.0,1.75,1.75,5.0,1.25,5.5,5.25,4.75,5.25,3.75,5.25,42.75,3.2031435277635047,1.6875,1.6,5.1875,5.3,3.375,3.625,3.25,3.5,4.729166666666667,3.375
58,33508,Baby Rosalina,City Tripper,Leaf Tyres,Parafoil,1.25,2.0,1.75,1.75,5.25,1.25,5.25,5.0,4.5,5.0,3.25,5.25,41.5,3.2619455321154827,1.6875,1.6,4.9375,5.05,3.25,3.5,3.125,3.375,4.479166666666667,3.25
59,14411,Baby Daisy,Buggybud,Normal,Parachute,1.25,2.0,2.0,2.0,5.0,1.25,5.5,5.0,5.5,5.5,4.5,5.0,44.5,3.1883165371133484,1.8125,1.7,5.375,5.4,3.375,3.5,3.75,3.75,4.958333333333333,3.375
60,26333,Baby Rosalina,Buggybud,Normal Blue,Paper Glider,1.25,2.0,2.0,2.0,5.25,1.25,5.25,4.75,5.25,5.25,4.0,5.0,43.25,3.2664463281071066,1.8125,1.7,5.125,5.15,3.25,3.375,3.625,3.625,4.708333333333333,3.25
61,79171,Dry Bones,Mr Scooty,Button,Cloud Glider,1.25,2.0,2.0,2.25,5.5,1.0,5.0,4.5,4.75,5.25,3.75,5.25,42.5,3.2849816680898485,1.875,1.775,4.875,4.95,3.125,3.25,3.375,3.75,4.625,3.0
62,20139,Baby Daisy,Varmint,Cushion,Flower Glider,1.25,2.0,2.25,1.5,4.75,1.25,5.25,4.5,5.0,5.0,4.75,5.0,42.5,3.2982851786114886,1.75,1.575,4.9375,5.0,3.25,3.25,3.625,3.25,4.895833333333333,3.25
63,21575,Baby Daisy,City Tripper,Sponge,Cloud Glider,1.25,2.0,2.25,1.5,4.75,1.25,5.25,4.5,5.0,5.25,4.75,5.0,42.75,3.2774061577218663,1.75,1.575,5.0,5.075,3.25,3.25,3.625,3.375,4.916666666666667,3.25
64,31893,Baby Rosalina,Varmint,Cushion,Cloud Glider,1.25,2.0,2.25,1.5,5.0,1.25,5.0,4.25,4.75,4.75,4.25,5.0,41.25,3.3793765228945203,1.75,1.575,4.6875,4.75,3.125,3.125,3.5,3.125,4.645833333333333,3.125
65,31869,Baby Rosalina,Varmint,Sponge,Parachute,1.25,2.0,2.25,1.5,5.0,1.25,5.0,4.25,4.75,5.0,4.25,5.0,41.5,3.359485483518089,1.75,1.575,4.75,4.825,3.125,3.125,3.5,3.25,4.666666666666667,3.125
66,73390,Dry Bones,Buggybud,Azure Roller,Wario Wing,1.25,2.0,2.5,1.75,5.5,1.5,5.25,5.0,5.0,5.0,3.75,5.25,43.75,3.2928681238919353,1.875,1.675,5.0625,5.1,3.25,3.5,3.75,3.375,4.6875,3.375
67,18714,Baby Daisy,Standard Bike,Azure Roller,MKTV Parafoil,1.25,2.0,2.5,2.0,5.0,1.25,5.5,5.25,5.5,5.25,4.25,5.25,45.0,3.2194229740181006,1.9375,1.75,5.375,5.375,3.375,3.625,4.0,3.625,4.958333333333333,3.375
68,30468,Baby Rosalina,Standard Bike,Azure Roller,Peach Parasol,1.25,2.0,2.5,2.0,5.25,1.25,5.25,5.0,5.25,5.0,3.75,5.25,43.75,3.289543078944144,1.9375,1.75,5.125,5.125,3.25,3.5,3.875,3.5,4.708333333333333,3.25
69,22532,Baby Daisy,Teddy Buggy,Azure Roller,Parafoil,1.25,2.0,2.75,1.75,5.0,1.5,5.5,5.0,5.75,5.0,3.75,5.25,44.5,3.258679532740464,1.9375,1.7,5.3125,5.275,3.375,3.5,4.25,3.375,4.770833333333333,3.5
70,24884,Baby Rosalina,Cat Cruiser,Azure Roller,Parafoil,1.25,2.0,2.75,1.75,5.25,1.5,5.25,4.75,5.5,4.75,3.25,5.25,43.25,3.31632729193623,1.9375,1.7,5.0625,5.025,3.25,3.375,4.125,3.25,4.520833333333333,3.375
71,12151,Baby Daisy,Pipe Frame,Button,Paper Glider,1.25,2.25,1.75,1.75,5.0,1.0,5.5,5.0,4.75,5.5,4.0,5.25,43.0,3.1836183153746496,1.75,1.65,5.1875,5.325,3.375,3.625,3.25,3.625,4.8125,3.25
72,33307,Baby Rosalina,City Tripper,Button,Cloud Glider,1.25,2.25,1.75,1.75,5.25,1.0,5.25,4.75,4.5,5.25,3.5,5.25,41.75,3.246891289304867,1.75,1.65,4.9375,5.075,3.25,3.5,3.125,3.5,4.5625,3.125
73,21646,Baby Daisy,City Tripper,Azure Roller,Wario Wing,1.25,2.25,2.25,1.25,5.0,1.5,5.75,5.5,5.0,5.25,4.0,5.25,44.25,3.1717960875617437,1.75,1.55,5.375,5.475,3.5,3.875,3.625,3.25,4.875,3.625
74,31789,Baby Rosalina,Varmint,Roller,Plane Glider,1.25,2.25,2.25,1.25,5.25,1.5,5.5,5.25,4.75,5.0,3.5,5.25,43.0,3.237598057746019,1.75,1.55,5.125,5.225,3.375,3.75,3.5,3.125,4.625,3.5
75,17784,Baby Daisy,Streetle,Cushion,Peach Parasol,1.25,2.25,2.5,1.25,4.75,1.25,5.0,5.0,5.25,4.25,5.0,5.0,42.75,3.297311617684338,1.8125,1.575,4.875,4.8,3.125,3.625,3.875,2.75,4.958333333333333,3.125
76,17762,Baby Daisy,Streetle,Sponge,MKTV Parafoil,1.25,2.25,2.5,1.25,4.75,1.25,5.0,5.0,5.25,4.5,5.0,5.0,43.0,3.2866389578941453,1.8125,1.575,4.9375,4.875,3.125,3.625,3.875,2.875,4.979166666666667,3.125
77,29550,Baby Rosalina,Streetle,Cushion,MKTV Parafoil,1.25,2.25,2.5,1.25,5.0,1.25,4.75,4.75,5.0,4.0,4.5,5.0,41.5,3.3803994132484205,1.8125,1.575,4.625,4.55,3.0,3.5,3.75,2.625,4.708333333333333,3.0
78,29522,Baby Rosalina,Streetle,Sponge,MKTV Parafoil,1.25,2.25,2.5,1.25,5.0,1.25,4.75,4.75,5.0,4.25,4.5,5.0,41.75,3.3712165257282947,1.8125,1.575,4.6875,4.625,3.0,3.5,3.75,2.75,4.729166666666667,3.0
79,73234,Dry Bones,Buggybud,Roller,Super Glider,1.25,2.25,2.5,1.5,5.5,1.25,5.25,4.75,5.0,5.25,4.0,5.25,43.75,3.250135286614558,1.875,1.65,5.0625,5.125,3.25,3.5,3.75,3.375,4.770833333333333,3.25
80,22091,Baby Daisy,Wild Wiggler,Roller,Paper Glider,1.25,2.25,2.5,2.0,5.0,1.0,5.5,5.0,5.5,5.5,4.5,5.25,45.25,3.1957804087824195,2.0,1.8,5.375,5.4,3.375,3.625,4.0,3.75,5.041666666666667,3.25
81,33997,Baby Rosalina,Wild Wiggler,Azure Roller,Parachute,1.25,2.25,2.5,2.0,5.25,1.0,5.25,4.75,5.25,5.25,4.0,5.25,44.0,3.2701375076543675,2.0,1.8,5.125,5.15,3.25,3.5,3.875,3.625,4.791666666666667,3.125
82,91034,Koopa Troopa,Mr Scooty,Azure Roller,Parafoil,1.25,2.25,2.5,2.0,5.5,1.5,5.25,5.0,5.25,5.0,4.0,5.5,45.0,3.2943942691551165,2.0,1.8,5.125,5.125,3.25,3.625,3.875,3.5,4.875,3.375
83,149682,Isabelle,Mr Scooty,Roller,Bowser Kite,1.25,2.25,2.5,2.0,5.75,1.5,5.0,4.75,5.0,4.75,3.25,5.5,43.5,3.3365561462599778,2.0,1.8,4.875,4.875,3.125,3.5,3.75,3.375,4.541666666666667,3.25
84,22527,Baby Daisy,Teddy Buggy,Azure Roller,Cloud Glider,1.25,2.25,2.75,1.75,5.0,1.25,5.5,4.75,5.75,5.25,4.0,5.25,44.75,3.243653283694023,2.0,1.75,5.3125,5.3,3.375,3.5,4.25,3.5,4.854166666666667,3.375
85,34291,Baby Rosalina,Teddy Buggy,Azure Roller,Parachute,1.25,2.25,2.75,1.75,5.25,1.25,5.25,4.5,5.5,5.0,3.5,5.25,43.5,3.3060938096169017,2.0,1.75,5.0625,5.05,3.25,3.375,4.125,3.375,4.604166666666667,3.25
86,17924,Baby Daisy,Streetle,Leaf Tyres,Peach Parasol,1.25,2.5,2.0,1.5,5.0,1.0,5.25,5.5,5.0,4.75,4.25,5.25,43.25,3.2115956409371087,1.8125,1.65,5.125,5.125,3.25,4.0,3.5,3.125,4.875,3.125
87,29690,Baby Rosalina,Streetle,Leaf Tyres,MKTV Parafoil,1.25,2.5,2.0,1.5,5.25,1.0,5.0,5.25,4.75,4.5,3.75,5.25,42.0,3.2778185081388522,1.8125,1.65,4.875,4.875,3.125,3.875,3.375,3.0,4.625,3.0
88,12094,Baby Daisy,Pipe Frame,Roller,Hylian Kite,1.25,2.5,2.25,1.0,5.0,1.25,5.75,5.25,5.0,5.5,4.25,5.25,44.25,3.1227286484706784,1.75,1.525,5.375,5.5,3.5,3.875,3.625,3.25,4.958333333333333,3.5
89,31780,Baby Rosalina,Varmint,Roller,Super Glider,1.25,2.5,2.25,1.0,5.25,1.25,5.5,5.0,4.75,5.25,3.75,5.25,43.0,3.193026974426149,1.75,1.525,5.125,5.25,3.375,3.75,3.5,3.125,4.708333333333333,3.375
90,78826,Dry Bones,Varmint,Roller,Parafoil,1.25,2.5,2.25,1.5,5.5,1.5,5.25,5.0,4.75,4.75,3.75,5.25,43.25,3.3197053378900616,1.875,1.675,4.9375,5.0,3.25,3.75,3.5,3.125,4.645833333333333,3.375
91,17793,Baby Daisy,Streetle,Cushion,Paper Glider,1.25,2.5,2.5,1.25,4.75,1.0,5.0,4.75,5.25,4.5,5.25,5.0,43.0,3.2668560709543253,1.875,1.625,4.875,4.825,3.125,3.625,3.875,2.875,5.041666666666667,3.0
92,14825,Baby Daisy,Landship,Sponge,Paper Glider,1.25,2.5,2.5,1.25,4.75,1.0,5.0,4.75,5.25,4.75,5.25,5.0,43.25,3.253385309008344,1.875,1.625,4.9375,4.9,3.125,3.625,3.875,3.0,5.0625,3.0
93,29553,Baby Rosalina,Streetle,Cushion,Paper Glider,1.25,2.5,2.5,1.25,5.0,1.0,4.75,4.5,5.0,4.25,4.75,5.0,41.75,3.353867019989337,1.875,1.625,4.625,4.575,3.0,3.5,3.75,2.75,4.791666666666667,2.875
94,26573,Baby Rosalina,Landship,Sponge,Cloud Glider,1.25,2.5,2.5,1.25,5.0,1.0,4.75,4.5,5.0,4.5,4.75,5.0,42.0,3.3416876048223,1.875,1.625,4.6875,4.65,3.0,3.5,3.75,2.875,4.8125,2.875
95,18418,Baby Daisy,Koopa Clown,Azure Roller,Bowser Kite,1.25,2.5,2.5,1.75,4.25,1.75,5.5,5.5,5.5,5.0,4.75,4.75,45.0,3.3382648717790087,2.0,1.775,5.375,5.35,3.375,4.0,4.0,3.375,4.958333333333333,3.625
96,30022,Baby Rosalina,Koopa Clown,Roller,Parafoil,1.25,2.5,2.5,1.75,4.5,1.75,5.25,5.25,5.25,4.75,4.25,4.75,43.75,3.438902144274256,2.0,1.775,5.125,5.1,3.25,3.875,3.875,3.25,4.708333333333333,3.5
97,91029,Koopa Troopa,Mr Scooty,Azure Roller,Cloud Glider,1.25,2.5,2.5,2.0,5.5,1.25,5.25,4.75,5.25,5.25,4.25,5.5,45.25,3.273013879440237,2.0625,1.85,5.125,5.15,3.25,3.625,3.875,3.625,4.958333333333333,3.25
98,143801,Isabelle,Buggybud,Roller,Flower Glider,1.25,2.5,2.5,2.0,5.75,1.25,5.0,4.5,5.0,5.0,3.5,5.5,43.75,3.3230901887246542,2.0625,1.85,4.875,4.9,3.125,3.5,3.75,3.5,4.625,3.125
